TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AdaptSpdKnobPush;FCU_AdaptVsKnobPull;FCU_AdaptVsKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
421.52;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.48682;0.06427000000000001;0.08569299999999999;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.081923;-0.022522;-0.06806;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5709.356709131394;204.45383587253258;EFB;0;
421.53;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.07498200000000001;-0.010712;0.010712;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.037161;-0.06806;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5709.758097178754;204.46555542369126;EFB;0;
421.54;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.49625;0.06427000000000001;0.08569299999999999;0.10712;-0.042847;0.0;1.0;0.0;1.0;0.0;-0.042702;-0.028152;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5710.159503231277;204.47727531929038;EFB;0;
421.55;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.053558;0.08569299999999999;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.023092;-0.055179;-0.06806;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5710.560927289344;204.48899555933082;EFB;0;
421.56;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.07498200000000001;0.0;0.010712;0.0;1.0;0.0;1.0;0.0;-0.043856;-0.073196;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5710.962369353327;204.5007161438132;EFB;0;
421.57;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.07498200000000001;0.096405;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.019144;-0.06806;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5711.363829423603;204.5124370727382;EFB;0;
421.58;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.49625;0.07498200000000001;0.06427000000000001;0.096405;-0.010712;0.0;1.0;0.0;1.0;0.0;-0.084231;-0.055179;-0.06690700000000001;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5711.765307500552;204.5241583461068;EFB;0;
421.59;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.06427000000000001;0.053558;0.0;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.037161;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5712.166803584546;204.53587996391946;EFB;0;
421.6;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.07498200000000001;0.08569299999999999;-0.010712;0.0;1.0;0.0;1.0;0.0;-0.08769099999999999;0.0;-0.06806;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5712.568317675961;204.547601926177;EFB;0;
421.61;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.48682;0.07498200000000001;0.06427000000000001;0.010712;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.078463;-0.018018;-0.06806;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5712.969849775178;204.55932423288021;EFB;0;
